NumPolys = 505

QuadrangleId = 0
n_id   x   y   z
22642 543 913.5 31.8
22540 471.5 913.5 31.8
22519 471.5 823.5 31.8
22621 543 823.5 31.8

QuadrangleId = 1
n_id   x   y   z
41544 543 913.5 24
41406 471.5 913.5 24
41385 471.5 823.5 24
41523 543 823.5 24

QuadrangleId = 2
n_id   x   y   z
41945 543 913.5 -1.2
41927 471.5 913.5 -1.2
41936 471.5 823.5 -1.2
41954 543 823.5 -1.2

QuadrangleId = 3
n_id   x   y   z
22540 471.5 913.5 31.8
22519 471.5 823.5 31.8
22429 400 823.5 31.8
22443 400 913.5 31.8

QuadrangleId = 4
n_id   x   y   z
41406 471.5 913.5 24
41385 471.5 823.5 24
41295 400 823.5 24
41309 400 913.5 24

QuadrangleId = 5
n_id   x   y   z
41927 471.5 913.5 -1.2
41936 471.5 823.5 -1.2
41918 400 823.5 -1.2
41909 400 913.5 -1.2

QuadrangleId = 6
n_id   x   y   z
22443 400 913.5 31.8
22429 400 823.5 31.8
22327 328.5 823.5 31.8
22341 328.5 913.5 31.8

QuadrangleId = 7
n_id   x   y   z
41309 400 913.5 24
41295 400 823.5 24
41142 328.5 823.5 24
41189 328.5 913.5 24

QuadrangleId = 8
n_id   x   y   z
41909 400 913.5 -1.2
41918 400 823.5 -1.2
41900 328.5 823.5 -1.2
41891 328.5 913.5 -1.2

QuadrangleId = 13
n_id   x   y   z
19013 543 663.5 31.8
18911 471.5 663.5 31.8
18890 471.5 573.5 31.8
18992 543 573.5 31.8

QuadrangleId = 14
n_id   x   y   z
38064 543 663.5 24
37926 471.5 663.5 24
37905 471.5 573.5 24
38043 543 573.5 24

QuadrangleId = 15
n_id   x   y   z
41865 543 663.5 -1.2
41847 471.5 663.5 -1.2
41856 471.5 573.5 -1.2
41874 543 573.5 -1.2

QuadrangleId = 20
n_id   x   y   z
15384 543 413.5 31.8
15282 471.5 413.5 31.8
15261 471.5 323.5 31.8
15363 543 323.5 31.8

QuadrangleId = 21
n_id   x   y   z
34584 543 413.5 24
34446 471.5 413.5 24
34425 471.5 323.5 24
34563 543 323.5 24

QuadrangleId = 22
n_id   x   y   z
41785 543 413.5 -1.2
41767 471.5 413.5 -1.2
41776 471.5 323.5 -1.2
41794 543 323.5 -1.2

QuadrangleId = 27
n_id   x   y   z
11755 543 163.5 31.8
11653 471.5 163.5 31.8
11632 471.5 73.5 31.8
11734 543 73.5 31.8

QuadrangleId = 28
n_id   x   y   z
31104 543 163.5 24
30966 471.5 163.5 24
30945 471.5 73.5 24
31083 543 73.5 24

QuadrangleId = 29
n_id   x   y   z
41705 543 163.5 -1.2
41687 471.5 163.5 -1.2
41696 471.5 73.5 -1.2
41714 543 73.5 -1.2

QuadrangleId = 34
n_id   x   y   z
4214 543 -86.5 31.8
4109 471.5 -86.5 31.8
4088 471.5 -176.5 31.8
4193 543 -176.5 31.8

QuadrangleId = 35
n_id   x   y   z
8429 543 -86.5 24
8288 471.5 -86.5 24
8267 471.5 -176.5 24
8408 543 -176.5 24

QuadrangleId = 36
n_id   x   y   z
8597 543 -86.5 -1.2
8579 471.5 -86.5 -1.2
8588 471.5 -176.5 -1.2
8606 543 -176.5 -1.2

QuadrangleId = 91
n_id   x   y   z
18814 400 663.5 31.8
18911 471.5 663.5 31.8
18890 471.5 573.5 31.8
18800 400 573.5 31.8

QuadrangleId = 92
n_id   x   y   z
37829 400 663.5 24
37926 471.5 663.5 24
37905 471.5 573.5 24
37815 400 573.5 24

QuadrangleId = 93
n_id   x   y   z
