Hole_index X Y Z Gap Force
0 328.5 -176.5 31.8 0.0995225 0
1 328.5 -86.5 31.8 0 1000
2 400 -176.5 31.8 0 1000
3 400 -86.5 31.8 0 1000
4 471.5 -176.5 31.8 0.0720122 0
5 471.5 -86.5 31.8 0.069255 0
6 543 -176.5 31.8 0 1000
7 543 -86.5 31.8 0.0379586 0
8 328.5 73.5 31.8 0 1000
9 328.5 163.5 31.8 0.101155 0
10 400 73.5 31.8 0 1000
11 400 163.5 31.8 0 1000
12 471.5 73.5 31.8 0.0659825 0
13 471.5 163.5 31.8 0.0816314 0
14 543 73.5 31.8 0 1000
15 543 163.5 31.8 0.0514798 0
16 328.5 323.5 31.8 0 1000
17 328.5 413.5 31.8 0.100836 0
18 400 323.5 31.8 0 1000
19 400 413.5 31.8 0 1000
20 471.5 323.5 31.8 0.0676197 0
21 471.5 413.5 31.8 0.0807664 0
22 543 323.5 31.8 0 1000
23 543 413.5 31.8 0.050004 0
24 328.5 573.5 31.8 0 1000
25 328.5 663.5 31.8 0.101263 0
26 400 573.5 31.8 0 1000
27 400 663.5 31.8 0 1000
28 471.5 573.5 31.8 0.0673145 0
29 471.5 663.5 31.8 0.078776 0
30 543 573.5 31.8 0 1000
31 543 663.5 31.8 0.0474138 0
32 328.5 823.5 31.8 0 1000
33 328.5 913.5 31.8 0.0991741 0
34 400 823.5 31.8 0 1000
35 400 913.5 31.8 0.00299191 1000
36 471.5 823.5 31.8 0.0632269 0
37 471.5 913.5 31.8 0.115562 0
38 543 823.5 31.8 0 1000
39 543 913.5 31.8 0.10245 0
